ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6		IsCreat
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	特性1	特性2	特性3	特性4	特性5	特性6		
10695423	Human	0	2	女娲后人	女娲族是人与神混血，是上古三神之一的女娲被贬于人间后诞生的后代，属于半神半凡。历代女娲后人都背负沉重的命运，代代以身殉道，不得善终。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	LunHui_61	DeepPotential	0	1
10695424	Human	1	2	三世追寻	[NAME]是一个用情至深的痴情女子，对爱有执著和坚韧的态度，也造就了她孤苦的追逐，她将私欲隐藏于内心，在爱与宿命之间周旋。她为了爱甘愿一次次飞蛾扑火，甚至不顾一切的为一个人逆转生死。她一生与宿命对抗，不屈服于命运的支配，也为此精心谋划，苦心经营，最终在面对为了天下苍生而牺牲生命的女娲族宿命时，她坦然接受，把自己用水灵珠修炼的内丹渡给徐长卿使他成仙，献出自己的生命封印锁妖塔。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	20,2	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_34	Affinity	LunHui_12	LunHui_3	RunFast	0	1
10695425	Human	0	2	神树果实	[NAME]是神树守护者夕瑶取了神树果实以果为心、以枝叶为体、以自己为范本再造的一个女子，而夕瑶的目的是让这个女子前往人间完成她的梦想，去陪伴飞蓬的转世。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0	1
10695426	Human	1	2	唐家大小姐	作为唐门掌门唐坤之最宠爱的养孙女，[NAME]虽有大小姐般任性娇蛮的脾气，但心地善良，即属于刀子嘴豆腐心。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	15,2	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0	1
10695427	Human	0	1	神将转世	[NAME]是神界最强的大将军飞蓬被贬入人间的转世之一	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
10695428	Human	1	0	当铺伙计	[NAME]不但有鉴别古董珠宝的天赋，而且对买卖、帐目能很精通，对保管的当品更有过目不忘的本事。	-1	0	0	0	0	20	0,0	0,0	20,2	20,1	20,2	20,2	20,2	20,2	20,1	20,1	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0	1
10695429	Human	1	2	魔剑剑灵	为了保护国家，太子铸造魔剑，而身为公主的[NAME]以身祭剑，跳入铸剑炉，成了寄宿在魔剑中的鬼。[NAME]随魔剑辗转百年，期待着与她心爱的哥哥再见。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
10695430	Human	0	2	姜国公主	姜国是一个以织染刺绣之术冠于天下的小国；而[NAME]是姜国的公主。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	10,1	20,2	20,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	BeautifulFace2	YinBody	LunHui_12	LunHui_3	RunFast	0	1
10695431	Human	0	0	人妖混血	[NAME]是赤炎与丝缎的后代，因二人被燎日所误杀，后来[IT]被常纪带到蜀山抚养长大，视同己出。	-1	3	1	0	4	0	11,2	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,1	5,2	0,0	0,0	0,0	DemonBlood	LunHui_2	LunHui_32				0	1
10695432	Human	1	1	五灵合体	[NAME]为了拯救地脉混乱的蜀山，奉蜀山掌门之命，求助于掌握五灵轮的清冷仙人。清冷仙人遂收南宫煌入绿萝门下，并将五灵轮与之身合，开启地脉入口，疏通五灵，从而使蜀山"否极泰来"、回复混沌状态。	-1	6	8	0	0	2	14,2	12,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15,2	0,0	0,0	0,0	0,0	SonOfDestiny	YangBody	LunHui_41	LunHui_60			0	1
10695433	Human	0	1	灵肉分离	[NAME]的身体其实是一具尸体，不仅残缺而且带有剧毒。因为灵肉分离，身体毫无感觉。为使尸身不坏，使用剧毒保存，故无法进入人界，绝大多数时间身在里蜀山。[IT]喜爱烹饪，却因为身体的缘故，无法领略食物的美味。	-1	0	8	4	0	0	20,2	0,0	0,0	0,0	30,2	0,0	0,0	0,0	20,1	20,1	11,2	0,0	0,0	0,0	0,0	DemonBlood	YinBody	IronStomach	LunHui_42			0	1
10695434	Human	1	1	里蜀山少主	[NAME]是赤炎与丝缎的大儿子，原名为周煊，幼时被里蜀山之主 燎日 带走并由其抚养长大。因此成为了里蜀山少主，而具有上位者的气质，有领导才能，在妖界有一定势力。性格冷傲，意志坚定，认定的目标就一定要达成	-1	4	4	0	3	0	11,2	9,2	17,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,1	8,1	0,0	0,0	0,0	Strong	LunHui_1	LunHui_3	LunHui_Kong_6			0	1
10695435	Human	0	1	郡主	[NAME]是王爷的女儿。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	10,1	20,2	19,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0	1
10695436	Human	1	0	天生怪力	[NAME]对细致的工作感到不耐烦，喜欢以蛮力解决问题。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0	1
10695437	Human	0	0	五毒兽	[NAME]是一只刚刚化形的五毒兽，非常贪吃，生冷不忌，任何奇怪的东西都可以吃下去，为了食物可以放弃一切。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
10695438	Human	1	2	敏感少女	[NAME]是一个敏感而神经质的女生，心情好时温柔体贴，几乎就是完美的典范，心情不好时则会变的十分凶暴。	-1	0	0	0	0	20	0,0	0,0	20,2	20,2	20,2	20,2	15,2	15,2	20,2	20,2	0,0	20,2	0,0	0,0	0,0	LunHui_51	BeautifulFace2	YinBody	LunHui_12	LunHui_3	RunFast	0	1
10695439	Human	0	1	蜀山剑侠	[NAME]是一个典型的蜀山弟子，性格稳重坚毅，有情有义，意志坚定，不善言辞。	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
10695440	Human	1	0	斩妖除魔	[NAME]认为妖类残害生灵，屠杀人类，不能对它们心存怜悯，因此[NAME]决心以斩妖除魔、维护正义为己任。	-1	0	0	0	0	20	0,0	0,0	20,2	20,1	15,2	20,2	19,2	20,2	20,1	20,1	0,0	20,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0	1
1069029	Human	0	0	魔尊	[NAME]是不老不死的魔神，挟唯我独尊的气势纵横六界	-1	20	20	20	20	0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,2	0,0	20,2	20,2	20,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0	1
